cid	SMILES	Binding_Modes
6CY	CC(=O)N1CCN(CC1)C(=O)c2cccc(c2)c3c4cc(ccc4ncn3)c5cc(c(nc5)OC)C#N	I
8JC	CC(=O)N1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)Nc4cccc(c4)NC(=O)C=C)C(F)(F)F	I
85S	CC(=O)N1CCN(CC1)c2cccc(c2)c3cc(c4n3ncnc4N)c5ccnn5C6CCOCC6	I
514	CC(=O)N1Cc2c([nH]nc2NC(=O)c3ccccc3)C1	I
34W	CC(=O)NCC(=O)N1C2CCC1c3c2ccc(c3)Nc4ncc(c(n4)NC5CCC5)C(F)(F)F	I
54R	CC(=O)NCCCNCc1ccc(c(c1)Cl)c2ccccc2	I
B4K	CC(=O)Nc1c2ccc(nc2[nH]n1)c3ccc(c(c3)O)O	I
6XK	CC(=O)Nc1cc(ccc1C2CC2CN)Nc3cc(n4c(n3)c(cn4)C#N)NC5CC5	I
5Y4	CC(=O)Nc1cc(ccc1N(C)CCN(C)C)Nc2cc(n3c(n2)c(cn3)C#N)NC4CC4	I
5Y3	CC(=O)Nc1cc(ccc1N(C)CCN)Nc2cc(n3c(n2)c(cn3)C#N)NC4CC4	I
J2M	CC(=O)Nc1cc(ccn1)c2c(c3c([nH]2)CCNC3=O)c4ccc(nc4)F	I
J2Y	CC(=O)Nc1cc(ccn1)c2c(c3c([nH]2)cccn3)c4ccc(cn4)OC	I
J2V	CC(=O)Nc1cc(ccn1)c2c(c3c([nH]2)cccn3)c4ccc(nc4)OC	I
3O4	CC(=O)Nc1ccc(cc1)c2ccnc(n2)Nc3ccc(cc3)N4CCOCC4	I
FAZ	CC(=O)Nc1ccc-2c(c1)OCCc3c2sc(c3)C(=O)N(C)c4ccccc4Cl	I
LNH	CC(=O)Nc1ccc2c(c1)c(cn2CCC(=O)O)c3cc(n4c(n3)c(cn4)C#N)NC5CC5	I
6P8	CC(=O)Nc1ccc2c(c1)ncnc2Nc3ccccc3	I
KJR	CC(=O)Nc1cccc(c1)c2c3c(ncnc3oc2c4ccccc4)NC(CO)c5ccccc5	I
3XK	CC(=O)Nc1cccc(c1)c2cc3c4cc(ncc4[nH]c3nc2)C#N	I
ZW3	CC(=O)Nc1cn2cc(ccc2n1)C=C3C(=O)NC(=O)S3	I
1UK	CC(=O)Nc1cn2cc(ccc2n1)c3cc(c(nc3)N)C(F)(F)F	I
2HV	CC(=O)Nc1nc(cs1)C(=O)Nc2ccccc2N3CCCCC3	I
43R	CC(=O)Nc1nc2c(s1)CN(CC2)c3cc(cnc3)OC	I
456	CC(=O)Nc1nc2c(s1)CN(CC2)c3cncc(n3)OC	I
1UJ	CC(=O)Nc1nc2ccc(cc2s1)C(=O)OC	I
QK0	CC(=O)Nc1nc2ccc(cc2s1)c3cc(c(nc3)Cl)NS(=O)(=O)c4ccc(cc4)F	I
2WK	CC(=O)Nc1nc2ccc(cc2s1)c3cc(c(nc3)OC)OC	I
2WJ	CC(=O)Nc1nc2ccc(cc2s1)c3cccnc3	I
QJZ	CC(=O)Nc1nc2ccc(cc2s1)c3ccnc(n3)SC	I
7L0	CC(=O)Nc1nc2ccc(cn2n1)c3cc(cnc3)S(=O)(=O)C	I
LCT	CC(=O)Nc1nnc(s1)c2ccc(cc2)[N+](=O)[O-]	I
KWT	CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(c5c(coc5C3=O)C(=O)OC4COC)C)C	I
F1B	CC(=O)c1ccc2c(c1)C(=C(c3ccccc3)NC4CCN(CC4)C)C(=O)N2	I
507	CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NC4CCOCC4	I
IYZ	CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NCC4CC4	I
DUK	CC(C(=O)N)Sc1[nH]c(=O)c2cnn(c2n1)c3cccc(c3)Cl	I
VFC	CC(C(=O)N1CC(C1)C#N)NC(=O)c2c[nH]c3c2nc(cn3)c4c5ccc(cc5n(n4)C)F	I
19S	CC(C(=O)N1CCCCC1)NC(=O)c2c[nH]c3c2nc(cn3)C4CC4	I
4HZ	CC(C(=O)NCC(F)(F)F)Nc1c(cnc(n1)c2c[nH]c3c2cc(cn3)Cl)F	I
8MQ	CC(C(=O)c1c[nH]c2c1cccc2)N3CCCCCC3	I
MP6	CC(C(C)(C)C)Nc1c2ccc(cc2c3c(n1)c(c[nH]c3=O)C#CC4CC4)c5c[nH]nc5	I
19R;19Q	CC(C(C)(C)O)NC(=O)c1c[nH]c2c1nc(cn2)C3CC3	I
5XV	CC(C(F)(F)F)Oc1c(ncc(n1)c2ccc3nc(cn3c2)NC(=O)C)N	I
13V	CC(C)(C#Cc1ccc2c(c1)c(c[nH]2)c3c(cnc(n3)N)OCCOC)O	I
LI8	CC(C)(C(=O)N)C(=O)NCCCNc1c(cnc(n1)Nc2cccc(c2)NC(=O)N3CCCC3)Br	I
467	CC(C)(C(=O)NCC(F)(F)F)Nc1c(cnc(n1)c2c[nH]c3c2cc(cn3)Cl)F	I
T12	CC(C)(C)C(=O)Oc1ccc2c(c1)nc(n2CCCO)NC(=O)c3cccc(c3)[N+](=O)[O-]	I
UGX	CC(C)(C)CNC(=O)CC1CNC(=O)c2n1cc(c2)c3ccsc3	I
5NW	CC(C)(C)CNc1c2c(ccn1)cnc(n2)Nc3ccc(cc3OC)c4cnn(c4)C	I
ERW	CC(C)(C)N(C)C(=O)CN1Cc2ccc(cc2C1=O)c3c(cnc(n3)NC4CCOCC4)Cl	I
ER8	CC(C)(C)NC(=O)CN1Cc2ccc(cc2C1=O)c3c(cnc(n3)NC4CCOCC4)Cl	I
1B6	CC(C)(C)NC(=O)c1c[nH]c2c1nc(cn2)c3c4n(cn3)CCCC4	I
63M	CC(C)(C)NC(=O)c1cnn2c1nc(cc2)NS(=O)(=O)c3ccnn3C	I
255	CC(C)(C)NS(=O)(=O)c1ccc(cc1)c2cc3c(cccc3Nc4ccccn4)nc2	I
6TP	CC(C)(C)NS(=O)(=O)c1ccc(cc1)c2cc3c(s2)c(cnc3N)C(=O)NC	I
5B3	CC(C)(C)NS(=O)(=O)c1ccc(cc1)c2ccc3c(c2)c(n[nH]3)N	I
8QE	CC(C)(C)Nc1c(c(cc(n1)Nc2ccc(cc2)C(=O)N)N)C#N	I
ZYS	CC(C)(C)Nc1nc(c(s1)C(=O)c2ccccc2)N	I
38W	CC(C)(C)Nc1nnc(o1)c2ccc3c(c2)c(c[nH]3)c4nccc(n4)C5CC5	I
0NL	CC(C)(C)OC(=O)NC1CCC(C1)n2cnc3c2c4cc[nH]c4nc3	I
X20	CC(C)(C)OC(=O)n1c2cc(ncc2cc1c3cnco3)Nc4ccc(cc4Cl)C(=O)N(C)C	I
7RO	CC(C)(C)OC(=O)n1c2cc(ncc2cc1c3cnn(c3)C)Nc4ccc(cc4Cl)C(=O)N(C)C	I
9XA	CC(C)(C)S(=O)(=O)c1cn2c(cc1OCCN3CCN(CC3)C)ncc2c4cc(nc(c4)Cl)N	I
IZA	CC(C)(C)c1[nH]c2c3cc[nH]c(=O)c3c4cc(ccc4c2n1)F	I
BH9	CC(C)(C)c1ccc(cc1)C(=O)Nc2cn3cc(ccc3n2)c4c[nH]nc4	I
IM6	CC(C)(C)c1ccc(cc1)C(=O)Nc2cn3cc(ccc3n2)n4ccnc4	I
X37	CC(C)(C)c1ccc(cc1)CC2(CCN(CC2)c3c4cc[nH]c4ncn3)N	I
0VN	CC(C)(C)c1ccc(cc1)Nc2[nH]c3cc(ccc3n2)C#N	I
0SC	CC(C)(C1CCN(CC1)Cc2ccc3c(n2)c(nc(n3)c4c5cc[nH]c5ccc4F)N6CCOCC6)O	I
0SD	CC(C)(C1CCN(CC1)Cc2ccc3c(n2)c(nc(n3)c4cccc5c4c[nH]n5)N6CCOCC6)O	I
0SE	CC(C)(C1CCN(CC1)Cc2ccc3c(n2)c(nc(n3)c4cnc(nc4)N)N5CCOCC5)O	I
0WR	CC(C)(C1CCN(CC1)Cc2nc3c(n2C)nc(nc3N4CCOCC4)n5c6ccccc6nc5N(C)C)O	I
XBJ	CC(C)(C1CNCC1Nc2c3cc(c(cc3nc(n2)c4cc(ccc4O)F)OC)OC)O	I
5CV	CC(C)(CN(C)C)COc1ccc2c(c1)cc([nH]2)c3cc(c[nH]c3=O)NC(=O)c4cnn(c4)Cc5ccccc5	I
KZL	CC(C)(CN)Nc1nc(c(c2n1cnn2)C(=O)N)Nc3cc(cc(c3)OC)OC	I
07U	CC(C)(CNc1c2ccncc2cc(n1)c3ccncc3)N	I
3J7	CC(C)(CNc1c2ccncc2nc(n1)c3ccc4c(c3)cn[nH]4)N	I
KSK	CC(C)(CNc1cc(nc2n1nc(c2C(=O)N)Nc3cc(cc(c3)OC)OC)C4CC4)N	I
5QS	CC(C)(CNc1ncc(c(n1)CC2CC2)c3ccnc(n3)Nc4ccncc4)O	I
1LE	CC(C)(CO)NC(=O)C(Cc1ccc2c(c1)c(n[nH]2)c3cc(c(c(c3)OC)OC)OC)C#N	I
057	CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3	I
1JV	CC(C)(Cn1cc(cn1)c2ccc-3c(c2)OCCc4c3nc(s4)c5ncnn5CC(F)(F)F)O	I
AA2	CC(C)(c1ccc(cc1)c2c(cnc(n2)Nc3ccc(cc3)CCN4CCOCC4)Cl)N	I
98M	CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(c(c4)Cl)N5CCN(CC5)C)c(=O)n2CC=C)O	I
99V	CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(c(c4)F)N5CCN(CC5)C)c(=O)n2CC=C)O	I
8X7	CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O	I
99M	CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCOCC5)c(=O)n2CC=C)O	I
ESW	CC(C)(c1ccccc1)NC(=O)CN2Cc3ccc(cc3C2=O)c4c(cnc(n4)NC5CCOCC5)Cl	I
5U3	CC(C)C(C)n1cc(c2c(c1=O)c(n[nH]2)N)c3cc(n(n3)C)C(C)(C)O	I
IZZ	CC(C)C(CO)Nc1ccc2ncc(n2n1)c3cccc(c3)N	I
AP9	CC(C)C(CO)Nc1nc(c2c(n1)n(cn2)C(C)C)Nc3cc(cc(c3)Cl)N	I
889	CC(C)CC(=O)Nc1c2c([nH]n1)C(N(C2)C(=O)C3CCN(CC3)C)(C)C	I
8Q5	CC(C)CNc1c2ncc(n2ccn1)c3ccc(cc3)C(=O)NC4CC4	I
6BE	CC(C)COc1cnccc1c2cnn(c2)c3ccc(cc3)N4CCN(CC4)C	I
3C9	CC(C)CS(=O)(=O)N1CCCC(C1)NC(=O)Nc2cnc3c(n2)cc[nH]3	I
F6J	CC(C)Cc1cc(ccc1C(=O)O)c2c[nH]c3c2cc(cn3)c4ccccc4	I
4GF	CC(C)N1CCC(CC1)c2cc(n(n2)c3ccc(cc3F)C4CC4)NC(=O)c5cnn6c5nccc6	I
0NT	CC(C)N1CCCC1C(=O)N2CCC(CC2)n3cnc4c3c5cc[nH]c5nc4	I
519	CC(C)NC(=O)NC1CCC(CC1)Nc2ncc3ccc(=O)n(c3n2)C(C)C	I
4F2	CC(C)NC(=O)NC1CCC(CC1)Nc2ncc3ccc(=O)n(c3n2)C4CCCC4	I
1B5	CC(C)NC(=O)c1c[nH]c2c1nc(cn2)c3c4ccc(cc4n(n3)C)Cl	I
1B4	CC(C)NC(=O)c1c[nH]c2c1nc(cn2)c3cc(c(c(c3)OC)OC)OC	I
CWT	CC(C)NC1=NC(=Cc2ccc3c(c2)OCO3)C(=O)N1C	I
EVK	CC(C)Nc1cc(c(cn1)Cl)c2cc([nH]c2)C(=O)NC(CO)c3cccc(c3)Cl	I
MVG	CC(C)Nc1ccc2cnn(c2c1)c3cncc(n3)c4ccc(cc4)C(=O)O	I
CCK	CC(C)Nc1ccc2cnn(c2c1)c3cncc(n3)n4ccc(c4)CC(=O)O	I
4L5	CC(C)Nc1ccc2ncc(n2n1)c3ccc(c(c3)OC)C(=O)N	I
RBQ	CC(C)OCCN1c2nc(cc(=O)n2CCC1C(F)(F)F)N3CCOCC3	I
6KD	CC(C)Oc1c(cccc1NC(=O)c2csc3c2nc[nH]c3=O)C(=O)N4CCN(CC4)C	I
8BY	CC(C)Oc1cc2c(cccc2c3ccc(cc3)C#N)cc1C(=O)N	I
8CD	CC(C)Oc1cc2c(ccnc2OCC3CCC(=O)N3)cc1C(=O)N	I
8C1	CC(C)Oc1cc2c(ccnc2cc1C(=O)N)OC3CCCNC3	I
8GY	CC(C)Oc1ccc2c(c1)C(=O)N(C2)c3cccc(n3)c4nncn4C(C)CO	I
H3H	CC(C)Oc1cccc(c1)c2coc3c2nc(cc3)c4cnn(c4)C	I
7LI	CC(C)Oc1cccc(c1N2CCCC(C2)N)C=C3C(=O)NC(=O)S3	I
GUI	CC(C)S(=O)(=O)c1ccccc1Nc2c(cnc(n2)Nc3ccc(cc3OC)N4CCC(CC4)N5CCN(CC5)C)Cl	I
S22	CC(C)S(=O)(=O)c1ccccc1Nc2cc(nc3c2cc[nH]3)Nc4ccc(cc4OC)N5CCC(CC5)O	I
C9Z;CG5	CC(C)c1c(c(no1)c2ccc(cc2)F)c3ccnc(c3)NC(=O)c4cc(c5n4CC6C(C(CN6C5)O)O)c7ccc(cc7)OC	I
67U	CC(C)c1c(cn(n1)C)c2[nH]c3cc(cnc3n2)Br	I
AQ2	CC(C)c1cc2c(ccnc2[nH]1)c3ccc(cc3)S(=O)(=O)NC4CCS(=O)(=O)CC4	I
534	CC(C)c1ccc(cc1)c2c(nccn2)N3CCN(CC3)S(=O)(=O)c4cccc(c4)c5cnc(nc5)N	I
17V	CC(C)n1c(ncn1)c2cc3c(s2)-c4ccc(cc4OCC3)C(=O)N	I
BWY	CC(C)n1c(ncn1)c2cn3c(n2)-c4cc(ccc4OCC3)S(=O)C5CCN(CC5)C(C)(C)C	I
5H5	CC(C)n1c(ncn1)c2cn3c(n2)-c4ccc(cc4OCC3)OC(C)C(=O)N	I
P2X	CC(C)n1c2c(c(n1)c3cc4cc(ccc4[nH]3)O)c(ncn2)N	I
ABJ	CC(C)n1c2c(c(n1)c3cccc(c3)O)c(ncn2)N	I
9YE	CC(C)n1c2c(c3c1-c4c(cccc4OCC=C(C)C)C3=O)C(=O)CCC2	I
FXB	CC(C)n1c2c(c3c1-c4c(cccc4OCC=C)C3=O)C(=O)CCC2	I
3QW	CC(C)n1c2cc(ncc2cc1c3c[nH]nc3)Nc4ccnc(n4)N5CCC(CC5)OC	I
60D	CC(C)n1cc(c2c1cc(nc2)Nc3ccnc(n3)c4cnn(c4)S(=O)(=O)C5CC5)C(=O)NC6CCOCC6	I
ABQ	CC(C)n1cc(c2c1ncnc2N)C(=O)c3cncc(n3)NC4COCC4c5ccc(cc5)F	I
3RW	CC(C)n1cc(c2c1ncnc2N)C(=O)c3cncc(n3)NCCc4cccnc4	I
A3E	CC(C)n1cc(nn1)c2cc(cnc2N)c3ccc(cc3)CN4CCOCC4	I
CJN	CC(C)n1ccc2c1c(ncn2)NC3CCC(CC3)N(C)C	I
63N	CC(C)n1cnc2c1cc(nc2)Nc3ccnc(n3)c4cnn(c4)S(=O)(=O)C5CC5	I
8GV	CC(C)n1cnnc1c2cccc(n2)N3Cc4ccc(cc4C3=O)OCC5CN(CCO5)C	I
8GS	CC(C)n1cnnc1c2cccc(n2)N3Cc4ccccc4C3=O	I
9E4	CC(C)n1cnnc1c2cccc(n2)NC(=O)c3cc(ccc3OC)C(=O)NC	I
9E1	CC(C)n1cnnc1c2cccc(n2)NC(=O)c3cc(ccc3OC)S(=O)(=O)N	I
8V7	CC(C)n1cnnc1c2nc(cs2)C(=O)Nc3ccccn3	I
55M	CC(C1CC(=O)NC1)Oc2c3c(cc(n2)c4ccc(c(c4)OC)OC)ncs3	I
1NX	CC(C1CC1)NC(=O)c2c[nH]c3c2nc(cn3)Oc4ccc5c(c4)C(CC5)NC(=O)C	I
55Y	CC(C1CNC(=O)O1)Oc2cc(cc3c2csn3)c4cnn(c4)C	I
CKN	CC(CC(=O)N)c1ccn2c1c(ncn2)NC3CCC(CC3)N4CCN(CC4)C(=O)C	I
YM8	CC(CN(C)C)Oc1c(ncc(n1)Nc2cc3cccc(c3cn2)Cl)C#N	I
77A	CC(CN(C)C)Oc1cncc(n1)NC(=O)Nc2cc(ccc2OC)Cl	I
8DY	CC(CN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(c(n2)C(=O)Nc3ccccc3)N	I
DF1	CC(CNc1c2c(c([nH]c2ncn1)c3ccccc3)c4ccccc4)O	I
7CU	CC(CNc1cnc(c(n1)c2cc3ccccc3[nH]2)C(=O)N)N	I
891	CC(CS(=O)(=O)C)Nc1ncc2cc(c(=O)n(c2n1)C)Oc3ccc(cc3F)F	I
6RF	CC(c1c(c(c2cc(ccc2n1)F)C(=O)N3CCNCC3)c4ccccc4)Nc5c(c(ncn5)N)C#N	I
YPW	CC(c1cc(ccc1C(=O)NC)F)Oc2c(ncc(n2)c3cccnc3OC)N	I
GWH	CC(c1cc(ccc1N2NC=CN2)F)Oc3cc(cnc3N)c4cccc(c4)S(=O)(=O)C	I
3VC	CC(c1cc2ccc(cc2nc1c3ccccn3)F)Nc4c5c([nH]cn5)ncn4	I
3VD	CC(c1cc2cccc(c2nc1c3cccc(c3)F)Cl)Nc4c5c([nH]cn5)ncn4	I
8QW	CC(c1ccc(cc1)F)C(=O)Nc2ccc(cc2)c3ccc4nc(nn4c3)Nc5ccc(cc5OC)S(=O)(=O)C	I
1P6	CC(c1ccc(cc1)F)Nc2cc(ncn2)c3c(nn4c3nccc4)N	I
SQZ	CC(c1ccc(cc1)F)n2c3c4cc(ccc4ncc3nn2)c5ccc6c(c5)nco6	I
529	CC(c1ccc(cc1)N2CCNC2=O)C(=O)Nc3cc([nH]n3)C4CC4	I
517	CC(c1ccc[nH]1)C2c3cc(ccc3NC2=O)NC(=O)N	I
EVQ	CC(c1cccc(c1)OC)NC(=O)CN2Cc3ccc(cc3C2=O)c4c(cnc(n4)NC5CCOCC5)Cl	I
07Q	CC(c1cccc(c1)OC)NC(=O)Nc2nc(cs2)c3ccncc3	I
98D;98G	CC(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O	I
ERK	CC(c1ccccc1)NC(=O)CN2Cc3ccc(cc3C2=O)c4c(cnc(n4)NC5CCOCC5)Cl	I
793	CC(c1ccccc1)Nc2c(c(=O)c2=O)Nc3ccncc3	I
084	CC(c1ccccc1)Nc2nccc(n2)c3c(nc(n3C)C4CCNCC4)c5cccc(c5)C(F)(F)F	I
BLZ	CC(c1ccccc1Cl)Oc2cc(sc2C(=O)N)n3cnc4c3cc(c(c4)OC)OC	I
74F	CC(c1nc(nn1C)c2cnc(c(n2)n3c4ccccc4nn3)N)N5CCOCC5	I
5MT	CC(c1nc2ccc(cc2n1c3cccc(c3)S(=O)(=O)C)F)Nc4c(c(ncn4)N)C#N	I
4ZR;4ZQ	CC(c1nc2cnc(cc2n1C(C)C(F)(F)F)Nc3ccnc(n3)N4CCC(C(C4)F)OC)O	I
1J5	CC(c1nc2cnc3c(c2n1C4CCC(CC4)C#N)cc[nH]3)O	I
1J6	CC(c1nc2cnc3c(c2n1C4CCC(CC4)CC#N)cc[nH]3)O	I
15T	CC(c1nc2cnc3c(c2n1C4CCC(CC4)CCC#N)cc[nH]3)O	I
XWW	CC(c1ncc(cn1)F)Nc2nc(nc(n2)N3CCOCC3)Nc4cn(cn4)C	I
7KA	CC(c1nn2cccc2c(=O)n1c3ccccc3)Nc4c(c(ncn4)N)C#N	I
9J4	CC1(C(CCC1(C)N)Nc2c3cc(cn3ncc2C(=O)N)c4ccccc4)C	I
925	CC1(CC(CC(N1O)(C)C)NC(=O)c2cccc(c2)c3cc4nccc(n4n3)Nc5cccc(c5)O)C	I
6VK	CC1(CC2=C(C(=O)C1)C(c3c([nH]nc3N2)C4CC4)(C)c5ccccc5)C	I
6VM	CC1(CC2=C(C(=O)C1)C(c3c([nH]nc3N2)CC(C)(C)C)(C)c4ccccc4)C	I
3QX	CC1(CCCC1Nc2c3cccn3ncc2C(=O)N)F	I
