Type I vs Type II

Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.5% 	 0.95199 	 0.01187 	 0.98727 	 0.00337 	 0.91507 	 0.0202 	 0.6 
Tanimoto_top_2_0.5% 	 0.96402 	 0.01426 	 0.99071 	 0.00265 	 0.9359 	 0.01911 	 0.45 
Tanimoto_top_3_0.5% 	 0.96934 	 0.0114 	 0.99194 	 0.00252 	 0.94208 	 0.01739 	 0.4 
Dice_top_1_0.5% 	 0.95199 	 0.01187 	 0.98727 	 0.00337 	 0.91507 	 0.0202 	 0.75 
Dice_top_2_0.5% 	 0.95428 	 0.01621 	 0.98714 	 0.00254 	 0.91167 	 0.01747 	 0.6 
Dice_top_3_0.5% 	 0.96465 	 0.01277 	 0.9889 	 0.0024 	 0.92441 	 0.01678 	 0.55 
Tversky_top_1_0.5% 	 0.92034 	 0.01095 	 0.97113 	 0.00422 	 0.78995 	 0.03345 	 0.75 
Tversky_top_2_0.5% 	 0.95862 	 0.00962 	 0.98592 	 0.00214 	 0.89971 	 0.01383 	 0.65 
Tversky_top_3_0.5% 	 0.95903 	 0.00864 	 0.98533 	 0.0019 	 0.89387 	 0.01454 	 0.55 

Type I vs Type I 1/2
Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.99% 	 0.78827 	 0.01104 	 0.90442 	 0.00502 	 0.57672 	 0.01751 	 0.3 
Tanimoto_top_2_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tanimoto_top_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.99% 	 0.79552 	 0.01145 	 0.90773 	 0.00533 	 0.58806 	 0.02549 	 0.5 
Dice_top_2_0.99% 	 0.80098 	 0.00989 	 0.91014 	 0.00433 	 0.60376 	 0.01586 	 0.35 
Dice_top_3_0.99% 	 0.80029 	 0.01074 	 0.90995 	 0.00505 	 0.6084 	 0.01915 	 0.3 
Tversky_top_1_0.99% 	 0.75612 	 0.01096 	 0.88976 	 0.00592 	 0.51203 	 0.01696 	 0.4 
Tversky_top_2_0.99% 	 0.7691 	 0.01451 	 0.89563 	 0.00687 	 0.54149 	 0.02529 	 0.35 
Tversky_top_3_0.99% 	 0.7715 	 0.0124 	 0.89627 	 0.00599 	 0.55037 	 0.02682 	 0.3 
Tanimoto_top_1_0.9% 	 0.8111 	 0.00718 	 0.91309 	 0.00289 	 0.6202 	 0.01042 	 0.45 
Tanimoto_top_2_0.9% 	 0.8074 	 0.01113 	 0.91273 	 0.00515 	 0.61541 	 0.02106 	 0.3 
Tanimoto_top_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.9% 	 0.80249 	 0.01316 	 0.91102 	 0.00625 	 0.6051 	 0.02976 	 0.6 
Dice_top_2_0.9% 	 0.83164 	 0.01252 	 0.92348 	 0.00526 	 0.66054 	 0.02401 	 0.5 
Dice_top_3_0.9% 	 0.82276 	 0.01369 	 0.92018 	 0.0051 	 0.64934 	 0.02334 	 0.4 
Tversky_top_1_0.9% 	 0.76118 	 0.01893 	 0.89104 	 0.00957 	 0.52336 	 0.02595 	 0.6 
Tversky_top_2_0.9% 	 0.77864 	 0.01737 	 0.89924 	 0.0085 	 0.56706 	 0.02923 	 0.5 
Tversky_top_3_0.9% 	 0.78178 	 0.01703 	 0.90032 	 0.00798 	 0.5662 	 0.02697 	 0.4 
Tanimoto_top_1_0.8% 	 0.82373 	 0.008 	 0.91999 	 0.00386 	 0.65607 	 0.01869 	 0.5 
Tanimoto_top_2_0.8% 	 0.82883 	 0.00948 	 0.9224 	 0.00451 	 0.66265 	 0.01664 	 0.35 
Tanimoto_top_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.8% 	 0.83106 	 0.01159 	 0.92159 	 0.00422 	 0.65466 	 0.01453 	 0.65 
Dice_top_2_0.8% 	 0.83164 	 0.01252 	 0.92348 	 0.00526 	 0.66054 	 0.02401 	 0.5 
Dice_top_3_0.8% 	 0.84251 	 0.01313 	 0.92734 	 0.00513 	 0.68873 	 0.02198 	 0.45 
Tversky_top_1_0.8% 	 0.78412 	 0.01711 	 0.90291 	 0.00801 	 0.57933 	 0.02972 	 0.7 
Tversky_top_2_0.8% 	 0.80041 	 0.0169 	 0.90966 	 0.00766 	 0.6051 	 0.02874 	 0.55 
Tversky_top_3_0.8% 	 0.8006 	 0.01375 	 0.90919 	 0.00634 	 0.61163 	 0.02319 	 0.45 
Tanimoto_top_1_0.5% 	 0.89399 	 0.011 	 0.94891 	 0.00566 	 0.78875 	 0.02117 	 0.6 
Tanimoto_top_2_0.5% 	 0.89382 	 0.00906 	 0.94938 	 0.00411 	 0.79167 	 0.01309 	 0.45 
Tanimoto_top_3_0.5% 	 0.90734 	 0.01214 	 0.95375 	 0.00471 	 0.80799 	 0.02088 	 0.4 
Dice_top_1_0.5% 	 0.89912 	 0.01623 	 0.95074 	 0.00586 	 0.79171 	 0.02556 	 0.75 
Dice_top_2_0.5% 	 0.90036 	 0.01221 	 0.95437 	 0.00442 	 0.81017 	 0.0179 	 0.65 
Dice_top_3_0.5% 	 0.88272 	 0.01459 	 0.94458 	 0.00744 	 0.76867 	 0.02418 	 0.55 
Tversky_top_1_0.5% 	 0.82522 	 0.01589 	 0.91942 	 0.00831 	 0.6532 	 0.03316 	 0.75 
Tversky_top_2_0.5% 	 0.86187 	 0.01391 	 0.93478 	 0.00643 	 0.73672 	 0.02249 	 0.65 
Tversky_top_3_0.5% 	 0.88789 	 0.01425 	 0.94527 	 0.00594 	 0.77992 	 0.01894 	 0.6 

Type I 1/2 vs Type II
Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.99% 	 0.87165 	 0.00877 	 0.91281 	 0.00655 	 0.7446 	 0.02218 	 0.3 
Tanimoto_top_2_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tanimoto_top_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.99% 	 0.8741 	 0.0155 	 0.91512 	 0.01036 	 0.75351 	 0.03513 	 0.4 
Dice_top_2_0.99% 	 0.88034 	 0.01205 	 0.91854 	 0.00795 	 0.76267 	 0.02185 	 0.35 
Dice_top_3_0.99% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Tversky_top_1_0.99% 	 0.88337 	 0.02108 	 0.91627 	 0.01277 	 0.74556 	 0.03593 	 0.35 
Tversky_top_2_0.99% 	 0.89152 	 0.01859 	 0.92128 	 0.01234 	 0.7598 	 0.03778 	 0.3 
Tversky_top_3_0.99% 	 0.88191 	 0.01276 	 0.91779 	 0.00803 	 0.75085 	 0.02453 	 0.3 
Tanimoto_top_1_0.9% 	 0.88149 	 0.01134 	 0.91599 	 0.00768 	 0.76606 	 0.01823 	 0.4 
Tanimoto_top_2_0.9% 	 0.89925 	 0.01346 	 0.92985 	 0.01013 	 0.80294 	 0.03019 	 0.3 
Tanimoto_top_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.9% 	 0.88598 	 0.01291 	 0.9188 	 0.00938 	 0.77935 	 0.02443 	 0.6 
Dice_top_2_0.9% 	 0.89892 	 0.01921 	 0.92905 	 0.01348 	 0.80563 	 0.03959 	 0.45 
Dice_top_3_0.9% 	 0.89209 	 0.01141 	 0.92462 	 0.00757 	 0.7869 	 0.01812 	 0.35 
Tversky_top_1_0.9% 	 0.88337 	 0.02108 	 0.91627 	 0.01277 	 0.74556 	 0.03593 	 0.35 
Tversky_top_2_0.9% 	 0.88653 	 0.01651 	 0.91905 	 0.01179 	 0.76385 	 0.03578 	 0.45 
Tversky_top_3_0.9% 	 0.89765 	 0.0129 	 0.92327 	 0.00939 	 0.78163 	 0.02765 	 0.4 

