SimilarityMetric	Label1	evaluationMode	Label2	FingerprintRadius	Label3	similarityThreshold	Label4	BA	sdBA	Label5	F1	sdF1	Label6	MCC	sdMCC	Label7	nFound	sdnFound	Label8	nNotFound	sdnNotFound
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.85	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	10	2.29	notFound	371	2.29
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.80	ba:	0.98920	0.01160	f1:	0.99221	0.00817	mcc	0.97697	0.02511	found:	60	7.19	notFound	321	7.19
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.80	ba:	0.98586	0.01815	f1:	0.98823	0.01513	mcc	0.97328	0.03294	found:	27	4.41	notFound	354	4.41
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.80	ba:	0.97802	0.02887	f1:	0.97843	0.02815	mcc	0.95691	0.05565	found:	19	3.85	notFound	362	3.85
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.80	ba:	0.97305	0.01194	f1:	0.98409	0.00743	mcc	0.95201	0.02108	found:	59	5.10	notFound	322	5.10
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.80	ba:	0.98019	0.02146	f1:	0.98506	0.01509	mcc	0.96300	0.03737	found:	28	2.81	notFound	353	2.81
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.80	ba:	0.97990	0.02519	f1:	0.98085	0.02401	mcc	0.95704	0.05333	found:	17	2.19	notFound	364	2.19
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.75	ba:	0.98111	0.01317	f1:	0.98829	0.00796	mcc	0.96434	0.02489	found:	92	9.84	notFound	289	9.84
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.75	ba:	0.98700	0.01358	f1:	0.99276	0.00728	mcc	0.97864	0.02143	found:	48	4.62	notFound	333	4.62
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.75	ba:	0.98360	0.01854	f1:	0.98728	0.01275	mcc	0.96785	0.03280	found:	31	3.33	notFound	350	3.33
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.75	ba:	0.98833	0.01311	f1:	0.99241	0.00767	mcc	0.97754	0.02263	found:	49	3.51	notFound	332	3.51
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.75	ba:	0.97779	0.01051	f1:	0.98664	0.00687	mcc	0.96001	0.02073	found:	95	5.37	notFound	286	5.37
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.75	ba:	0.97953	0.01739	f1:	0.98174	0.01518	mcc	0.96057	0.03253	found:	30	2.33	notFound	351	2.33
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.70	ba:	0.96993	0.01096	f1:	0.98016	0.00607	mcc	0.94160	0.02128	found:	126	7.90	notFound	255	7.90
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.70	ba:	0.97840	0.01768	f1:	0.98789	0.00591	mcc	0.95800	0.02253	found:	75	4.73	notFound	307	4.73
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.70	ba:	0.99200	0.01422	f1:	0.99519	0.00745	mcc	0.98458	0.02374	found:	44	4.00	notFound	337	4.00
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.70	ba:	0.96889	0.01127	f1:	0.97969	0.00713	mcc	0.94298	0.02096	found:	125	7.61	notFound	256	7.61
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.70	ba:	0.98159	0.01613	f1:	0.98936	0.00877	mcc	0.96625	0.02705	found:	79	4.93	notFound	302	4.93
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.65	ba:	0.96135	0.00980	f1:	0.97183	0.00711	mcc	0.92589	0.01926	found:	160	9.00	notFound	221	9.00
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.70	ba:	0.98894	0.01156	f1:	0.99151	0.00851	mcc	0.97808	0.02198	found:	48	1.85	notFound	333	1.85
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.65	ba:	0.97115	0.01068	f1:	0.98187	0.00578	mcc	0.94019	0.02028	found:	101	6.54	notFound	280	6.54
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.65	ba:	0.97626	0.01340	f1:	0.98503	0.00991	mcc	0.95073	0.02955	found:	70	6.41	notFound	311	6.41
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.65	ba:	0.96615	0.01008	f1:	0.98084	0.00548	mcc	0.93954	0.01638	found:	98	7.47	notFound	283	7.47
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.65	ba:	0.95610	0.00964	f1:	0.96811	0.00544	mcc	0.91644	0.01505	found:	165	7.39	notFound	216	7.39
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.65	ba:	0.98274	0.01706	f1:	0.99294	0.00630	mcc	0.97406	0.02331	found:	67	4.47	notFound	314	4.47
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.60	ba:	0.95280	0.01175	f1:	0.96288	0.01017	mcc	0.90457	0.02705	found:	206	3.38	notFound	175	3.38
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.60	ba:	0.95998	0.00879	f1:	0.97307	0.00585	mcc	0.92104	0.01970	found:	132	6.03	notFound	249	6.03
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.60	ba:	0.96769	0.01729	f1:	0.98122	0.00993	mcc	0.93830	0.02985	found:	94	6.18	notFound	287	6.18
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.60	ba:	0.96637	0.01260	f1:	0.97704	0.00741	mcc	0.93424	0.02126	found:	127	7.27	notFound	254	7.27
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.60	ba:	0.94932	0.01401	f1:	0.96191	0.01037	mcc	0.90484	0.02588	found:	209	8.08	notFound	172	8.08
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.60	ba:	0.97425	0.01784	f1:	0.98482	0.01089	mcc	0.95301	0.03265	found:	93	4.97	notFound	288	4.97
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.55	ba:	0.94195	0.01431	f1:	0.95368	0.01159	mcc	0.88688	0.02464	found:	249	5.87	notFound	132	5.87
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.55	ba:	0.96652	0.01267	f1:	0.97639	0.00828	mcc	0.92918	0.02429	found:	161	7.33	notFound	220	7.33
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.55	ba:	0.96864	0.00785	f1:	0.97918	0.00546	mcc	0.93701	0.01493	found:	122	5.71	notFound	259	5.71
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.55	ba:	0.94760	0.01441	f1:	0.96546	0.00731	mcc	0.90028	0.02401	found:	159	7.28	notFound	222	7.28
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.55	ba:	0.97217	0.01300	f1:	0.98240	0.00755	mcc	0.94683	0.02283	found:	122	4.03	notFound	259	4.03
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.55	ba:	0.92783	0.01221	f1:	0.94472	0.01016	mcc	0.86617	0.02234	found:	252	8.17	notFound	129	8.17
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.50	ba:	0.90182	0.01533	f1:	0.92559	0.01137	mcc	0.80182	0.02776	found:	303	5.53	notFound	79	5.53
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.50	ba:	0.95950	0.01662	f1:	0.97123	0.01147	mcc	0.92150	0.03024	found:	198	8.52	notFound	183	8.52
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.50	ba:	0.95841	0.01559	f1:	0.97321	0.00862	mcc	0.92136	0.02880	found:	154	8.96	notFound	227	8.96
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.50	ba:	0.93930	0.00941	f1:	0.95920	0.00684	mcc	0.88933	0.01896	found:	193	6.91	notFound	188	6.91
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.50	ba:	0.96874	0.01324	f1:	0.98049	0.00700	mcc	0.94259	0.02166	found:	150	9.28	notFound	231	9.28
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.50	ba:	0.87733	0.01302	f1:	0.90209	0.01423	mcc	0.77386	0.02571	found:	302	4.01	notFound	79	4.01
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.45	ba:	0.95583	0.00747	f1:	0.96649	0.00711	mcc	0.91461	0.01810	found:	231	4.12	notFound	151	4.12
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.45	ba:	0.94739	0.01224	f1:	0.96538	0.00821	mcc	0.90028	0.02148	found:	183	8.10	notFound	198	8.10
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.45	ba:	0.88096	0.01152	f1:	0.91307	0.00823	mcc	0.76839	0.02431	found:	337	5.02	notFound	44	5.02
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.45	ba:	0.94052	0.01058	f1:	0.95702	0.00881	mcc	0.89073	0.02222	found:	237	8.15	notFound	144	8.15
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.45	ba:	0.93098	0.00780	f1:	0.95457	0.00568	mcc	0.87602	0.01807	found:	186	5.02	notFound	195	5.02
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.45	ba:	0.84558	0.01542	f1:	0.86831	0.01716	mcc	0.71813	0.03154	found:	338	4.61	notFound	43	4.61
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.40	ba:	0.94790	0.01377	f1:	0.96337	0.00810	mcc	0.90205	0.01958	found:	216	7.88	notFound	165	7.88
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.40	ba:	0.94056	0.00908	f1:	0.95465	0.00743	mcc	0.88328	0.01763	found:	271	8.18	notFound	110	8.18
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.40	ba:	0.95154	0.01304	f1:	0.96605	0.00812	mcc	0.90988	0.02099	found:	211	7.97	notFound	170	7.97
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.40	ba:	0.92733	0.00859	f1:	0.94553	0.00681	mcc	0.86813	0.01386	found:	273	8.39	notFound	108	8.39
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.40	ba:	0.88149	0.01134	f1:	0.91599	0.00768	mcc	0.76606	0.01823	found:	359	5.06	notFound	22	5.06
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.35	ba:	0.91533	0.01108	f1:	0.93724	0.01055	mcc	0.83322	0.02508	found:	311	4.92	notFound	70	4.92
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.35	ba:	0.94020	0.01563	f1:	0.95598	0.01053	mcc	0.88507	0.02645	found:	247	9.25	notFound	134	9.25
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.40	ba:	0.78944	0.01587	f1:	0.80323	0.02116	mcc	0.60583	0.03288	found:	360	3.29	notFound	21	3.29
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.35	ba:	0.89328	0.01601	f1:	0.92000	0.01361	mcc	0.80500	0.03069	found:	309	7.95	notFound	72	7.95
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.35	ba:	0.93502	0.01170	f1:	0.95257	0.00873	mcc	0.88013	0.02081	found:	254	6.13	notFound	127	6.13
TanimotoSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.30	ba:	0.89925	0.01346	f1:	0.92985	0.01013	mcc	0.80294	0.03019	found:	349	3.56	notFound	32	3.56
TanimotoSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.30	ba:	0.92902	0.00976	f1:	0.94879	0.00631	mcc	0.86333	0.01697	found:	293	8.44	notFound	88	8.44
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.35	ba:	0.87041	0.00909	f1:	0.91197	0.00661	mcc	0.75158	0.01775	found:	377	1.76	notFound	4	1.76
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.35	ba:	0.74357	0.01254	f1:	0.69789	0.01174	mcc	0.49658	0.02410	found:	375	1.74	notFound	6	1.74
TanimotoSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.30	ba:	0.82765	0.01994	f1:	0.85350	0.02135	mcc	0.68637	0.03872	found:	350	3.91	notFound	31	3.91
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.90	ba:	0.96787	0.01776	f1:	0.97781	0.01426	mcc	0.93599	0.04110	found:	51	3.30	notFound	330	3.30
TanimotoSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.30	ba:	0.92117	0.00840	f1:	0.94213	0.00624	mcc	0.85074	0.01630	found:	291	7.65	notFound	90	7.65
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.90	ba:	0.97280	0.01871	f1:	0.97329	0.01900	mcc	0.94565	0.03655	found:	26	3.01	notFound	355	3.01
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.90	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	13	3.63	notFound	368	3.63
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.90	ba:	0.97461	0.01893	f1:	0.98039	0.01452	mcc	0.93942	0.04612	found:	53	4.55	notFound	328	4.55
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.90	ba:	0.98446	0.01953	f1:	0.98584	0.01746	mcc	0.96734	0.04031	found:	25	2.24	notFound	357	2.24
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.90	ba:	1.00000	0.00000	f1:	1.00000	0.00000	mcc	1.00000	0.00000	found:	15	1.70	notFound	366	1.70
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.85	ba:	0.96817	0.01731	f1:	0.97902	0.01140	mcc	0.93681	0.03312	found:	100	4.89	notFound	281	4.89
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.85	ba:	0.96773	0.01051	f1:	0.97915	0.00966	mcc	0.94094	0.02435	found:	55	2.93	notFound	326	2.93
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.85	ba:	0.99310	0.01382	f1:	0.99661	0.00679	mcc	0.98972	0.02055	found:	36	4.15	notFound	345	4.15
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.85	ba:	0.96773	0.01588	f1:	0.97884	0.00862	mcc	0.93428	0.02714	found:	98	4.90	notFound	283	4.90
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.85	ba:	0.97477	0.01013	f1:	0.98073	0.00995	mcc	0.94380	0.02810	found:	56	4.59	notFound	325	4.59
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.85	ba:	0.98785	0.01563	f1:	0.99057	0.01169	mcc	0.97429	0.03237	found:	34	3.43	notFound	347	3.43
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.80	ba:	0.95972	0.01333	f1:	0.97076	0.01007	mcc	0.92323	0.02529	found:	153	6.60	notFound	228	6.60
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.80	ba:	0.96740	0.01460	f1:	0.98093	0.00833	mcc	0.94004	0.02745	found:	96	6.22	notFound	285	6.22
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.80	ba:	0.97570	0.01767	f1:	0.98739	0.00997	mcc	0.95685	0.03304	found:	65	6.87	notFound	316	6.87
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.80	ba:	0.95621	0.01516	f1:	0.96967	0.01043	mcc	0.92028	0.02600	found:	151	6.00	notFound	230	6.00
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.80	ba:	0.96754	0.01336	f1:	0.98051	0.00672	mcc	0.93679	0.02434	found:	89	7.03	notFound	292	7.03
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.80	ba:	0.97569	0.01863	f1:	0.98522	0.01260	mcc	0.95492	0.03564	found:	60	5.29	notFound	321	5.29
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.75	ba:	0.95061	0.01105	f1:	0.96297	0.00917	mcc	0.90547	0.02050	found:	212	8.61	notFound	170	8.61
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.75	ba:	0.95128	0.01423	f1:	0.96897	0.01007	mcc	0.90997	0.02872	found:	129	10.35	notFound	252	10.35
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.75	ba:	0.97942	0.01419	f1:	0.98670	0.00941	mcc	0.95744	0.03114	found:	93	5.34	notFound	288	5.34
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.75	ba:	0.96433	0.01841	f1:	0.97634	0.01053	mcc	0.93257	0.03053	found:	132	4.82	notFound	249	4.82
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.75	ba:	0.94957	0.01267	f1:	0.96127	0.00841	mcc	0.90320	0.02140	found:	211	4.43	notFound	170	4.43
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.75	ba:	0.97079	0.01200	f1:	0.98336	0.00600	mcc	0.94668	0.01849	found:	96	5.01	notFound	285	5.01
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.70	ba:	0.92516	0.01278	f1:	0.94214	0.00977	mcc	0.85225	0.02485	found:	262	8.82	notFound	119	8.82
TanimotoSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.30	ba:	0.87165	0.00877	f1:	0.91281	0.00655	mcc	0.74460	0.02218	found:	380	1.26	notFound	2	1.26
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.70	ba:	0.95532	0.00986	f1:	0.96861	0.00675	mcc	0.91096	0.02052	found:	173	6.97	notFound	208	6.97
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.70	ba:	0.96591	0.00958	f1:	0.97816	0.00576	mcc	0.93048	0.02180	found:	124	10.00	notFound	257	10.00
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.70	ba:	0.94960	0.01274	f1:	0.96697	0.00651	mcc	0.90626	0.02083	found:	172	7.59	notFound	209	7.59
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.70	ba:	0.96671	0.01086	f1:	0.98078	0.00693	mcc	0.94337	0.02102	found:	125	6.76	notFound	256	6.76
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.70	ba:	0.92322	0.01461	f1:	0.94121	0.01082	mcc	0.85978	0.02508	found:	263	6.60	notFound	118	6.60
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.65	ba:	0.96921	0.00628	f1:	0.97594	0.00509	mcc	0.93475	0.01200	found:	210	5.80	notFound	171	5.80
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.65	ba:	0.96665	0.00936	f1:	0.97688	0.00690	mcc	0.93301	0.02084	found:	163	5.39	notFound	218	5.39
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.65	ba:	0.90673	0.01229	f1:	0.93133	0.00854	mcc	0.81583	0.02217	found:	314	4.29	notFound	68	4.29
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.65	ba:	0.95103	0.01336	f1:	0.96672	0.00877	mcc	0.91017	0.02264	found:	210	7.52	notFound	171	7.52
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.65	ba:	0.96202	0.01204	f1:	0.97481	0.00654	mcc	0.92601	0.02225	found:	162	8.57	notFound	219	8.57
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.65	ba:	0.85798	0.01486	f1:	0.88535	0.01589	mcc	0.74071	0.02793	found:	318	8.01	notFound	64	8.01
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.60	ba:	0.94608	0.00680	f1:	0.95938	0.00700	mcc	0.89531	0.01666	found:	252	6.28	notFound	130	6.28
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.60	ba:	0.95660	0.01285	f1:	0.96877	0.01048	mcc	0.91064	0.02923	found:	197	8.35	notFound	184	8.35
TanimotoSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.30	ba:	0.71089	0.01125	f1:	0.57081	0.02251	mcc	0.39870	0.02510	found:	380	1.33	notFound	1	1.33
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.60	ba:	0.88598	0.01291	f1:	0.91880	0.00938	mcc	0.77935	0.02443	found:	349	5.25	notFound	32	5.25
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.60	ba:	0.93923	0.01022	f1:	0.95393	0.00826	mcc	0.88779	0.01969	found:	251	9.79	notFound	130	9.79
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.60	ba:	0.93699	0.00961	f1:	0.95797	0.00687	mcc	0.88354	0.01964	found:	197	9.63	notFound	184	9.63
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.55	ba:	0.95094	0.01132	f1:	0.96353	0.00740	mcc	0.90012	0.01948	found:	235	9.31	notFound	146	9.31
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.55	ba:	0.93265	0.01219	f1:	0.95002	0.00942	mcc	0.86905	0.02432	found:	284	9.05	notFound	97	9.05
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.60	ba:	0.82485	0.01115	f1:	0.84905	0.01406	mcc	0.67845	0.02344	found:	350	2.39	notFound	31	2.39
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.55	ba:	0.91918	0.01307	f1:	0.93758	0.01107	mcc	0.85009	0.02232	found:	284	6.74	notFound	97	6.74
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.55	ba:	0.94862	0.01590	f1:	0.96426	0.01037	mcc	0.90718	0.02600	found:	229	10.36	notFound	152	10.36
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.50	ba:	0.90792	0.01740	f1:	0.93186	0.01233	mcc	0.81563	0.03378	found:	327	4.63	notFound	54	4.63
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.55	ba:	0.86524	0.01127	f1:	0.90690	0.00764	mcc	0.73200	0.01824	found:	369	4.73	notFound	12	4.73
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.50	ba:	0.93126	0.01477	f1:	0.94903	0.01122	mcc	0.86834	0.02783	found:	262	10.64	notFound	120	10.64
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.55	ba:	0.76382	0.01571	f1:	0.76498	0.02827	mcc	0.55092	0.03337	found:	369	3.14	notFound	12	3.14
DiceSimilarity	evaluationMode:	probability	FPRadius	2	similarityThreshold:	0.50	ba:	0.88733	0.02171	f1:	0.91458	0.01927	mcc	0.79624	0.04103	found:	330	4.82	notFound	52	4.82
DiceSimilarity	evaluationMode:	probability	FPRadius	3	similarityThreshold:	0.50	ba:	0.92841	0.01697	f1:	0.94761	0.01208	mcc	0.86959	0.03015	found:	266	7.40	notFound	115	7.40
DiceSimilarity	evaluationMode:	top	FPRadius	2	similarityThreshold:	0.45	ba:	0.89892	0.01921	f1:	0.92905	0.01348	mcc	0.80563	0.03959	found:	353	3.44	notFound	28	3.44
DiceSimilarity	evaluationMode:	top	FPRadius	3	similarityThreshold:	0.45	ba:	0.92109	0.00918	f1:	0.94153	0.00811	mcc	0.84104	0.02013	found:	297	6.23	notFound	84	6.23
DiceSimilarity	evaluationMode:	top	FPRadius	1	similarityThreshold:	0.50	ba:	0.87075	0.01786	f1:	0.91195	0.01163	mcc	0.74547	0.03115	found:	379	0.87	notFound	2	0.87
DiceSimilarity	evaluationMode:	probability	FPRadius	1	similarityThreshold:	0.50	ba:	0.72396	0.01063	f1:	0.64790	0.02223	mcc	0.44687	0.02367	found:	378	1.62	notFound	3	1.62
